4294966295,U,B,2,0.996,4
4294966296,I,S,0,1.009,3
4294966296,I,S,0,1.008,1
4294966297,D,S,3,1.012,2
4294966298,I,B,0,1.001,10
4294966299,U,B,2,0.998,3
4294966299,D,S,4,1.015,7
4294966300,I,S,3,1.013,8
4294966301,D,B,1,1.000,1
4294966301,D,S,0,1.008,1
4294966302,U,S,4,1.015,7
4294966303,U,B,4,0.993,6
4294966304,I,S,0,1.008,6
4294966305,D,B,3,0.994,4
4294966305,U,S,2,1.010,2
4294966306,U,B,0,1.001,9
4294966307,U,S,2,1.010,1
4294966308,D,S,4,1.014,3
4294966309,U,S,0,1.008,7
4294966310,D,S,0,1.008,7
4294966311,D,S,0,1.009,3
4294966311,D,S,0,1.010,1
4294966312,I,B,0,1.002,1
4294966312,I,B,0,1.003,4
4294966313,D,B,4,0.996,4
4294966314,D,B,4,0.995,3
4294966315,I,B,0,1.004,1
4294966316,D,B,0,1.004,1
4294966316,I,S,0,1.012,2
4294966317,U,S,4,1.017,2
4294966318,D,B,0,1.003,4
4294966318,D,B,0,1.002,1
4294966319,I,S,0,1.011,1
4294966319,I,S,0,1.010,9
4294966320,I,S,0,1.009,7
4294966321,I,S,0,1.008,8
4294966321,I,S,0,1.007,1
4294966322,D,B,0,1.001,9
4294966322,D,B,0,0.998,3
4294966323,U,S,0,1.007,2
4294966324,D,S,0,1.007,2
4294966324,I,B,0,0.998,6
4294966325,D,B,0,0.998,6
4294966325,D,B,0,0.997,5
4294966326,D,B,3,0.993,10
4294966327,U,B,0,0.996,7
4294966328,I,B,3,0.993,5
4294966329,U,S,2,1.010,8
4294966330,I,S,0,1.007,2
4294966330,I,S,0,1.006,8
4294966331,I,S,0,1.005,9
4294966331,I,S,0,1.004,7
4294966332,U,S,0,1.004,8
4294966333,U,B,1,0.995,10
4294966334,U,B,3,0.993,6
4294966335,I,B,0,0.997,8
4294966336,D,S,2,1.006,8
4294966337,I,S,0,1.003,2
4294966338,D,S,0,1.003,2
4294966339,I,S,0,1.003,5
4294966340,U,B,1,0.996,8
4294966341,I,S,0,1.002,4
4294966342,I,B,0,0.998,8
4294966343,I,S,0,1.001,8
4294966343,I,S,0,1.000,10
4294966344,D,B,1,0.997,8
4294966345,D,S,2,1.002,4
4294966346,I,S,2,1.002,8
4294966347,U,S,0,1.000,9
4294966348,D,B,0,0.998,8
4294966348,D,B,0,0.996,8
4294966349,I,B,0,0.996,2
4294966350,D,B,0,0.996,2
4294966350,D,B,0,0.995,10
4294966351,I,B,0,0.995,1
4294966352,D,B,2,0.993,10
4294966353,I,B,0,0.996,1
4294966353,I,B,0,0.997,8
4294966354,D,B,0,0.997,8
